,,,
,,,
,,,
Pathway,Track,Subject Combination,Code
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,History & Citizenship,Literature in English",SS2100
STEM,TECHNICAL STUDIES,"Biology,Business Studies,Media Technology",ST3065
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Advanced Mathematics,Hindu Religious Education,History & Citizenship",SS2091
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"General Science,Geography,Islamic Religious Education",SS2042
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Fasihi ya Kiswahili,Islamic Religious Education",SS2110
ARTS & SPORTS SCIENCE,ARTS,"Christian Religious Education,Fine Arts,Theatre & Film",AS1005
ARTS & SPORTS SCIENCE,ARTS,"History & Citizenship,Music & Dance,Theatre & Film",AS1048
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Christian Religious Education,General Science",SS2115
STEM,TECHNICAL STUDIES,"Business Studies,Marine & Fisheries,Metal Work",ST3089
STEM,APPLIED SCIENCES,"Advanced Mathematics,Biology,Geography",ST2040
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,History & Citizenship,Mandarine Chinese",SS2101
ARTS & SPORTS SCIENCE,ARTS,"Arabic,Fine Arts,Theatre & Film",AS1001
ARTS & SPORTS SCIENCE,ARTS,"Fine Arts,German,Theatre & Film",AS1012
STEM,PURE SCIENCES,"Advanced Mathematics,Metal Work,Physics",ST1039
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Fasihi ya Kiswahili,Hindu Religious Education,History & Citizenship",SS2071
STEM,TECHNICAL STUDIES,"Aviation,Geography,Media Technology",ST3120
STEM,APPLIED SCIENCES,"Agriculture,Aviation,Computer Studies",ST2056
ARTS & SPORTS SCIENCE,ARTS,"Fasihi ya Kiswahili,Music & Dance,Theatre & Film",AS1043
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"French,Indigenous Language,Literature in English",SS1001
STEM,TECHNICAL STUDIES,"Business Studies,Media Technology,Metal Work",ST3091
ARTS & SPORTS SCIENCE,SPORTS,"Biology,Mandarine Chinese,Sports & Recreation",AS2013
STEM,APPLIED SCIENCES,"Aviation,Business Studies,Computer Studies",ST2096
STEM,APPLIED SCIENCES,"Agriculture,Chemistry,Computer Studies",ST2059
ARTS & SPORTS SCIENCE,ARTS,"Fine Arts,Mandarine Chinese,Music & Dance",AS1032
STEM,PURE SCIENCES,"Advanced Mathematics,Chemistry,Geography",ST1016
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"General Science,Geography,History & Citizenship",SS2013
ARTS & SPORTS SCIENCE,ARTS,"French,Music & Dance,Theatre & Film",AS1044
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Fasihi ya Kiswahili,Indigenous Language,Literature in English",SS1002
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Geography,German,Hindu Religious Education",SS2044
STEM,TECHNICAL STUDIES,"General Science,Media Technology,Power Mechanics",ST3011
STEM,TECHNICAL STUDIES,"Computer Studies,General Science,Marine & Fisheries",ST3044
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"French,Geography,Islamic Religious Education",SS2039
STEM,APPLIED SCIENCES,"Aviation,Computer Studies,Home Science",ST2020
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Christian Religious Education,Fasihi ya Kiswahili,History & Citizenship",SS2069
ARTS & SPORTS SCIENCE,SPORTS,"Advanced Mathematics,General Science,Sports & Recreation",AS2029
ARTS & SPORTS SCIENCE,ARTS,"Fine Arts,German,Music & Dance",AS1029
STEM,PURE SCIENCES,"Aviation,Biology,Chemistry",ST1043
STEM,TECHNICAL STUDIES,"Advanced Mathematics,Electricity,Geography",ST3024
STEM,TECHNICAL STUDIES,"Chemistry,Geography,Marine & Fisheries",ST3054
STEM,APPLIED SCIENCES,"Agriculture,Home Science,Metal Work",ST2092
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,Computer Studies,Kenya Sign Language",SS1058
STEM,APPLIED SCIENCES,"Computer Studies,Geography,Metal Work",ST2017
STEM,TECHNICAL STUDIES,"Electricity,Geography,Marine & Fisheries",ST3022
STEM,PURE SCIENCES,"Advanced Mathematics,Chemistry,Wood Work",ST1022
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,Fasihi ya Kiswahili,Indigenous Language",SS1043
STEM,APPLIED SCIENCES,"Agriculture,Building & Construction,Home Science",ST2083
STEM,TECHNICAL STUDIES,"General Science,Media Technology,Wood Work",ST3053
STEM,APPLIED SCIENCES,"Agriculture,Home Science,Marine & Fisheries",ST2090
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Christian Religious Education,Computer Studies,History & Citizenship",SS2064
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Hindu Religious Education,History & Citizenship,Mandarine Chinese",SS2086
STEM,TECHNICAL STUDIES,"Computer Studies,Electricity,Geography",ST3006
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,French,Hindu Religious Education",SS1011
STEM,APPLIED SCIENCES,"Chemistry,Computer Studies,Home Science",ST2024
STEM,TECHNICAL STUDIES,"Geography,Media Technology,Physics",ST3082
STEM,TECHNICAL STUDIES,"Business Studies,Physics,Wood Work",ST3038
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Fasihi ya Kiswahili,Indigenous Language,Kenya Sign Language",SS1018
STEM,TECHNICAL STUDIES,"Business Studies,Chemistry,Power Mechanics",ST3107
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Advanced Mathematics,Arabic,French",SS1019
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Fasihi ya Kiswahili,General Science,Indigenous Language",SS1029
STEM,PURE SCIENCES,"Advanced Mathematics,Biology,Power Mechanics",ST1008
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Fasihi ya Kiswahili,Geography,History & Citizenship",SS2018
STEM,PURE SCIENCES,"Advanced Mathematics,Chemistry,Marine & Fisheries",ST1018
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Christian Religious Education,Fasihi ya Kiswahili",SS2109
STEM,APPLIED SCIENCES,"Agriculture,Home Science,Wood Work",ST2095
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"French,German,Islamic Religious Education",SS1050
STEM,TECHNICAL STUDIES,"Advanced Mathematics,Geography,Media Technology",ST3081
STEM,APPLIED SCIENCES,"Agriculture,Computer Studies,Electricity",ST2060
STEM,TECHNICAL STUDIES,"Business Studies,Chemistry,Metal Work",ST3085
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,French,Kenya Sign Language",SS1064
ARTS & SPORTS SCIENCE,ARTS,"Fine Arts,French,Theatre & Film",AS1009
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Arabic,Business Studies,Christian Religious Education",SS2103
STEM,TECHNICAL STUDIES,"Geography,Home Science,Power Mechanics",ST3018
STEM,APPLIED SCIENCES,"Business Studies,Computer Studies,Wood Work",ST2009
STEM,APPLIED SCIENCES,"Agriculture,Business Studies,Computer Studies",ST2047
ARTS & SPORTS SCIENCE,ARTS,"Christian Religious Education,Fine Arts,Music & Dance",AS1022
STEM,APPLIED SCIENCES,"Building & Construction,Business Studies,Computer Studies",ST2098
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"General Science,History & Citizenship,Islamic Religious Education",SS2077
STEM,APPLIED SCIENCES,"Agriculture,Aviation,Business Studies",ST2043
STEM,TECHNICAL STUDIES,"Business Studies,Home Science,Wood Work",ST3034
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Advanced Mathematics,Arabic,Kenya Sign Language",SS1074
STEM,PURE SCIENCES,"Advanced Mathematics,Chemistry,Electricity",ST1015
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"German,History & Citizenship,Islamic Religious Education",SS2080
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Fasihi ya Kiswahili,Hindu Religious Education,Kenya Sign Language",SS1033
STEM,PURE SCIENCES,"Advanced Mathematics,Biology,Physics",ST1007
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Christian Religious Education,Fasihi ya Kiswahili,Geography",SS2035
ARTS & SPORTS SCIENCE,SPORTS,"Biology,Computer Studies,Sports & Recreation",AS2003
ARTS & SPORTS SCIENCE,ARTS,"Biology,Fine Arts,Music & Dance",AS1019
ARTS & SPORTS SCIENCE,SPORTS,"General Science,Hindu Religious Education,Sports & Recreation",AS2021
STEM,APPLIED SCIENCES,"Computer Studies,Home Science,Marine & Fisheries",ST2028
STEM,PURE SCIENCES,"Advanced Mathematics,Aviation,General Science",ST1024
STEM,PURE SCIENCES,"Advanced Mathematics,Computer Studies,Physics",ST1034
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Arabic,Business Studies,History & Citizenship",SS2094
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Fasihi ya Kiswahili,German,Indigenous Language",SS1025
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Arabic,Geography,History & Citizenship",SS2026
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"History & Citizenship,Islamic Religious Education,Mandarine Chinese",SS2087
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Fasihi ya Kiswahili,Hindu Religious Education,Indigenous Language",SS1036
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,French,History & Citizenship",SS2097
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Advanced Mathematics,Business Studies,Hindu Religious Education",SS2027
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"History & Citizenship,Islamic Religious Education,Literature in English",SS2083
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,General Science,Islamic Religious Education",SS2116
STEM,TECHNICAL STUDIES,"Advanced Mathematics,Geography,Metal Work",ST3103
STEM,TECHNICAL STUDIES,"Computer Studies,Geography,Media Technology",ST3079
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Fasihi ya Kiswahili,Indigenous Language,Mandarine Chinese",SS1022
STEM,TECHNICAL STUDIES,"Chemistry,Geography,Metal Work",ST3099
STEM,TECHNICAL STUDIES,"Chemistry,Electricity,Geography",ST3017
STEM,APPLIED SCIENCES,"Agriculture,Geography,Wood Work",ST2078
STEM,TECHNICAL STUDIES,"Geography,Home Science,Wood Work",ST3060
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Advanced Mathematics,Fasihi ya Kiswahili,Indigenous Language",SS1020
STEM,TECHNICAL STUDIES,"Biology,Electricity,Geography",ST3014
STEM,TECHNICAL STUDIES,"Business Studies,General Science,Metal Work",ST3086
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"French,Geography,Mandarine Chinese",SS1055
STEM,TECHNICAL STUDIES,"Computer Studies,Geography,Power Mechanics",ST3016
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Indigenous Language,Islamic Religious Education,Literature in English",SS1007
STEM,PURE SCIENCES,"Advanced Mathematics,Agriculture,General Science",ST1023
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Fasihi ya Kiswahili,Kenya Sign Language,Mandarine Chinese",SS1026
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Advanced Mathematics,Indigenous Language,Literature in English",SS1069
STEM,APPLIED SCIENCES,"Aviation,Computer Studies,Geography",ST2010
STEM,TECHNICAL STUDIES,"Aviation,Business Studies,Metal Work",ST3083
ARTS & SPORTS SCIENCE,SPORTS,"Arabic,Biology,Sports & Recreation",AS2001
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Fasihi ya Kiswahili,Islamic Religious Education,Kenya Sign Language",SS1031
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Computer Studies,Hindu Religious Education,History & Citizenship",SS2062
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Christian Religious Education,German",SS2005
ARTS & SPORTS SCIENCE,ARTS,"Fine Arts,Geography,Theatre & Film",AS1011
ARTS & SPORTS SCIENCE,ARTS,"Fine Arts,History & Citizenship,Music & Dance",AS1030
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Hindu Religious Education,Literature in English",SS2012
STEM,TECHNICAL STUDIES,"General Science,Geography,Wood Work",ST3046
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,General Science,Hindu Religious Education",SS2117
ARTS & SPORTS SCIENCE,ARTS,"Computer Studies,Music & Dance,Theatre & Film",AS1039
STEM,TECHNICAL STUDIES,"General Science,Media Technology,Metal Work",ST3097
STEM,APPLIED SCIENCES,"Agriculture,Business Studies,Wood Work",ST2055
STEM,APPLIED SCIENCES,"Business Studies,Computer Studies,Electricity",ST2001
STEM,APPLIED SCIENCES,"Computer Studies,Electricity,Home Science",ST2025
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Christian Religious Education,French,Mandarine Chinese",SS1077
STEM,PURE SCIENCES,"Advanced Mathematics,Business Studies,Physics",ST1033
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,Business Studies,Kenya Sign Language",SS1057
STEM,APPLIED SCIENCES,"Agriculture,Home Science,Physics",ST2093
ARTS & SPORTS SCIENCE,ARTS,"Arabic,Fine Arts,Music & Dance",AS1018
ARTS & SPORTS SCIENCE,ARTS,"Fine Arts,Islamic Religious Education,Music & Dance",AS1023
STEM,TECHNICAL STUDIES,"Business Studies,Geography,Wood Work",ST3032
STEM,TECHNICAL STUDIES,"Geography,Marine & Fisheries,Media Technology",ST3061
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Geography,Hindu Religious Education,Mandarine Chinese",SS2052
STEM,TECHNICAL STUDIES,"Geography,Media Technology,Metal Work",ST3104
STEM,TECHNICAL STUDIES,"Biology,Business Studies,Wood Work",ST3027
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Advanced Mathematics,French,German",SS1046
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Business Studies,Fasihi ya Kiswahili,Kenya Sign Language",SS1023
ARTS & SPORTS SCIENCE,SPORTS,"General Science,Media Technology,Sports & Recreation",AS2030
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Business Studies,Fasihi ya Kiswahili,Literature in English",SS1080
STEM,TECHNICAL STUDIES,"Advanced Mathematics,General Science,Wood Work",ST3051
STEM,TECHNICAL STUDIES,"Business Studies,Marine & Fisheries,Wood Work",ST3035
STEM,TECHNICAL STUDIES,"Advanced Mathematics,Business Studies,Metal Work",ST3090
STEM,PURE SCIENCES,"Advanced Mathematics,Agriculture,Chemistry",ST1010
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Fasihi ya Kiswahili,Indigenous Language,Islamic Religious Education",SS1038
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,General Science,History & Citizenship",SS2098
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"French,Geography,German",SS1051
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Geography,German,History & Citizenship",SS2010
ARTS & SPORTS SCIENCE,SPORTS,"Biology,Hindu Religious Education,Sports & Recreation",AS2005
STEM,TECHNICAL STUDIES,"Advanced Mathematics,Business Studies,Marine & Fisheries",ST3040
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"French,History & Citizenship,Islamic Religious Education",SS2074
STEM,TECHNICAL STUDIES,"Geography,Physics,Wood Work",ST3071
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Arabic,Christian Religious Education,Geography",SS2029
STEM,TECHNICAL STUDIES,"Advanced Mathematics,Geography,Marine & Fisheries",ST3059
STEM,APPLIED SCIENCES,"Agriculture,Computer Studies,Wood Work",ST2069
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Christian Religious Education,Geography,Literature in English",SS2047
ARTS & SPORTS SCIENCE,ARTS,"Biology,Music & Dance,Theatre & Film",AS1037
ARTS & SPORTS SCIENCE,ARTS,"German,Music & Dance,Theatre & Film",AS1047
ARTS & SPORTS SCIENCE,ARTS,"Christian Religious Education,Music & Dance,Theatre & Film",AS1040
STEM,APPLIED SCIENCES,"Agriculture,Geography,Power Mechanics",ST2076
STEM,TECHNICAL STUDIES,"Business Studies,Media Technology,Physics",ST3073
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Christian Religious Education,Fasihi ya Kiswahili,Kenya Sign Language",SS1030
STEM,TECHNICAL STUDIES,"Business Studies,General Science,Wood Work",ST3031
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Geography,History & Citizenship",SS2025
STEM,PURE SCIENCES,"Advanced Mathematics,Biology,Metal Work",ST1006
ARTS & SPORTS SCIENCE,ARTS,"Fine Arts,Hindu Religious Education,Music & Dance",AS1024
ARTS & SPORTS SCIENCE,ARTS,"Mandarine Chinese,Music & Dance,Theatre & Film",AS1050
STEM,PURE SCIENCES,"Advanced Mathematics,Aviation,Chemistry",ST1011
ARTS & SPORTS SCIENCE,ARTS,"Fine Arts,Mandarine Chinese,Theatre & Film",AS1015
ARTS & SPORTS SCIENCE,ARTS,"Fine Arts,French,Music & Dance",AS1026
STEM,TECHNICAL STUDIES,"Business Studies,Chemistry,Wood Work",ST3029
STEM,PURE SCIENCES,"Advanced Mathematics,Biology,Chemistry",ST1004
STEM,TECHNICAL STUDIES,"Geography,Marine & Fisheries,Physics",ST3062
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Indigenous Language,Literature in English,Mandarine Chinese",SS1068
STEM,PURE SCIENCES,"Advanced Mathematics,Marine & Fisheries,Physics",ST1038
ARTS & SPORTS SCIENCE,SPORTS,"General Science,Islamic Religious Education,Sports & Recreation",AS2020
STEM,TECHNICAL STUDIES,"Advanced Mathematics,Business Studies,Power Mechanics",ST3113
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,Geography,Kenya Sign Language",SS1070
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Fasihi ya Kiswahili,History & Citizenship,Kenya Sign Language",SS1041
STEM,TECHNICAL STUDIES,"General Science,Marine & Fisheries,Metal Work",ST3095
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Arabic,Business Studies,Hindu Religious Education",SS2105
STEM,APPLIED SCIENCES,"Agriculture,Business Studies,Physics",ST2053
STEM,APPLIED SCIENCES,"Agriculture,Computer Studies,Home Science",ST2063
STEM,TECHNICAL STUDIES,"Business Studies,Chemistry,Media Technology",ST3066
ARTS & SPORTS SCIENCE,SPORTS,"Advanced Mathematics,Biology,Sports & Recreation",AS2014
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Arabic,Geography,Hindu Religious Education",SS2031
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Fasihi ya Kiswahili,Geography,Kenya Sign Language",SS1039
STEM,PURE SCIENCES,"Advanced Mathematics,Physics,Wood Work",ST1041
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"French,Hindu Religious Education,Mandarine Chinese",SS1079
STEM,APPLIED SCIENCES,"Business Studies,Computer Studies,Marine & Fisheries",ST2004
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Hindu Religious Education,History & Citizenship",SS2006
STEM,TECHNICAL STUDIES,"Advanced Mathematics,General Science,Metal Work",ST3096
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"French,German,History & Citizenship",SS1049
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Computer Studies,French,German",SS1047
ARTS & SPORTS SCIENCE,ARTS,"General Science,Music & Dance,Theatre & Film",AS1045
STEM,APPLIED SCIENCES,"Agriculture,Business Studies,Home Science",ST2085
STEM,PURE SCIENCES,"Advanced Mathematics,Aviation,Physics",ST1031
STEM,TECHNICAL STUDIES,"Computer Studies,General Science,Wood Work",ST3043
STEM,APPLIED SCIENCES,"Computer Studies,Home Science,Metal Work",ST2030
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Business Studies,Christian Religious Education,Mandarine Chinese",SS2017
STEM,TECHNICAL STUDIES,"Geography,Physics,Power Mechanics",ST3023
SOCIAL SCIENCES,HUMANITIES & BUSINESS STUDIES,"Christian Religious Education,General Science,History & Citizenship",SS2076
STEM,TECHNICAL STUDIES,"Chemistry,Geography,Media Technology",ST3078
STEM,TECHNICAL STUDIES,"Biology,Geography,Wood Work",ST3055
STEM,APPLIED SCIENCES,"Agriculture,Business Studies,Chemistry",ST2046
STEM,PURE SCIENCES,"Advanced Mathematics,Biology,Marine & Fisheries",ST1047
"STEM
SOCIAL SCIENCES","TECHNICAL STUDIES
LANGUAGES & LITERATURE","General Science,Home Science,Metal Work
History & Citizenship,Indigenous Language,Literature in English",ST3094 SS1067
ARTS & SPORTS SCIENCE,ARTS,"Business Studies,Fine Arts,Theatre & Film",AS1003
STEM,TECHNICAL STUDIES,"Business Studies,Computer Studies,Media Technology",ST3067
SOCIAL SCIENCES,LANGUAGES & LITERATURE,"Arabic,French,Islamic Religious Education",SS1009
